chain_id,domain,chain_type,symbolic_violation,violation_type,violation_position,details,symbolic_pred_shuffled
csgo_real_0000,csgo,real,False,,,No violations detected,False
csgo_real_0001,csgo,real,False,,,No violations detected,False
csgo_real_0002,csgo,real,False,,,No violations detected,False
csgo_real_0003,csgo,real,False,,,No violations detected,False
csgo_real_0004,csgo,real,False,,,No violations detected,False
csgo_real_0005,csgo,real,False,,,No violations detected,False
csgo_real_0006,csgo,real,False,,,No violations detected,False
csgo_real_0007,csgo,real,False,,,No violations detected,False
csgo_real_0008,csgo,real,False,,,No violations detected,False
csgo_real_0009,csgo,real,False,,,No violations detected,False
csgo_real_0010,csgo,real,False,,,No violations detected,False
csgo_real_0011,csgo,real,False,,,No violations detected,False
csgo_real_0012,csgo,real,False,,,No violations detected,False
csgo_real_0013,csgo,real,False,,,No violations detected,False
csgo_real_0014,csgo,real,False,,,No violations detected,False
csgo_real_0015,csgo,real,False,,,No violations detected,False
csgo_real_0016,csgo,real,False,,,No violations detected,False
csgo_real_0017,csgo,real,False,,,No violations detected,False
csgo_real_0018,csgo,real,False,,,No violations detected,False
csgo_real_0019,csgo,real,False,,,No violations detected,False
csgo_real_0020,csgo,real,False,,,No violations detected,False
csgo_real_0021,csgo,real,False,,,No violations detected,False
csgo_real_0022,csgo,real,False,,,No violations detected,False
csgo_real_0023,csgo,real,False,,,No violations detected,False
csgo_real_0024,csgo,real,False,,,No violations detected,False
csgo_real_0025,csgo,real,False,,,No violations detected,False
csgo_real_0026,csgo,real,False,,,No violations detected,False
csgo_real_0027,csgo,real,False,,,No violations detected,False
csgo_real_0028,csgo,real,False,,,No violations detected,False
csgo_real_0029,csgo,real,False,,,No violations detected,False
csgo_shuffled_0000,csgo,shuffled,False,,,No violations detected,False
csgo_shuffled_0001,csgo,shuffled,False,,,No violations detected,False
csgo_shuffled_0002,csgo,shuffled,False,,,No violations detected,False
csgo_shuffled_0003,csgo,shuffled,False,,,No violations detected,False
csgo_shuffled_0004,csgo,shuffled,False,,,No violations detected,False
csgo_shuffled_0005,csgo,shuffled,False,,,No violations detected,False
csgo_shuffled_0006,csgo,shuffled,False,,,No violations detected,False
csgo_shuffled_0007,csgo,shuffled,False,,,No violations detected,False
csgo_shuffled_0008,csgo,shuffled,False,,,No violations detected,False
csgo_shuffled_0009,csgo,shuffled,False,,,No violations detected,False
csgo_shuffled_0010,csgo,shuffled,False,,,No violations detected,False
csgo_shuffled_0011,csgo,shuffled,False,,,No violations detected,False
csgo_shuffled_0012,csgo,shuffled,False,,,No violations detected,False
csgo_shuffled_0013,csgo,shuffled,False,,,No violations detected,False
csgo_shuffled_0014,csgo,shuffled,False,,,No violations detected,False
csgo_shuffled_0015,csgo,shuffled,False,,,No violations detected,False
csgo_shuffled_0016,csgo,shuffled,False,,,No violations detected,False
csgo_shuffled_0017,csgo,shuffled,False,,,No violations detected,False
csgo_shuffled_0018,csgo,shuffled,False,,,No violations detected,False
csgo_shuffled_0019,csgo,shuffled,False,,,No violations detected,False
csgo_shuffled_0020,csgo,shuffled,False,,,No violations detected,False
csgo_shuffled_0021,csgo,shuffled,False,,,No violations detected,False
csgo_shuffled_0022,csgo,shuffled,False,,,No violations detected,False
csgo_shuffled_0023,csgo,shuffled,False,,,No violations detected,False
csgo_shuffled_0024,csgo,shuffled,False,,,No violations detected,False
csgo_shuffled_0025,csgo,shuffled,False,,,No violations detected,False
csgo_shuffled_0026,csgo,shuffled,False,,,No violations detected,False
csgo_shuffled_0027,csgo,shuffled,False,,,No violations detected,False
csgo_shuffled_0028,csgo,shuffled,False,,,No violations detected,False
csgo_shuffled_0029,csgo,shuffled,False,,,No violations detected,False
