chain_id,domain,chain_type,symbolic_violation,violation_type,violation_position,details,symbolic_pred_shuffled
nba_real_0000,nba,real,False,,,No violations detected,False
nba_real_0001,nba,real,False,,,No violations detected,False
nba_real_0002,nba,real,False,,,No violations detected,False
nba_real_0003,nba,real,False,,,No violations detected,False
nba_real_0004,nba,real,False,,,No violations detected,False
nba_real_0005,nba,real,False,,,No violations detected,False
nba_real_0006,nba,real,False,,,No violations detected,False
nba_real_0007,nba,real,False,,,No violations detected,False
nba_real_0008,nba,real,False,,,No violations detected,False
nba_real_0009,nba,real,False,,,No violations detected,False
nba_real_0010,nba,real,False,,,No violations detected,False
nba_real_0011,nba,real,False,,,No violations detected,False
nba_real_0012,nba,real,False,,,No violations detected,False
nba_real_0013,nba,real,False,,,No violations detected,False
nba_real_0014,nba,real,False,,,No violations detected,False
nba_real_0015,nba,real,False,,,No violations detected,False
nba_real_0016,nba,real,False,,,No violations detected,False
nba_real_0017,nba,real,False,,,No violations detected,False
nba_real_0018,nba,real,False,,,No violations detected,False
nba_real_0019,nba,real,False,,,No violations detected,False
nba_real_0020,nba,real,False,,,No violations detected,False
nba_real_0021,nba,real,False,,,No violations detected,False
nba_real_0022,nba,real,False,,,No violations detected,False
nba_real_0023,nba,real,False,,,No violations detected,False
nba_real_0024,nba,real,False,,,No violations detected,False
nba_real_0025,nba,real,False,,,No violations detected,False
nba_real_0026,nba,real,False,,,No violations detected,False
nba_real_0027,nba,real,False,,,No violations detected,False
nba_real_0028,nba,real,False,,,No violations detected,False
nba_real_0029,nba,real,False,,,No violations detected,False
nba_shuffled_0000,nba,shuffled,False,,,No violations detected,False
nba_shuffled_0001,nba,shuffled,False,,,No violations detected,False
nba_shuffled_0002,nba,shuffled,False,,,No violations detected,False
nba_shuffled_0003,nba,shuffled,False,,,No violations detected,False
nba_shuffled_0004,nba,shuffled,False,,,No violations detected,False
nba_shuffled_0005,nba,shuffled,False,,,No violations detected,False
nba_shuffled_0006,nba,shuffled,False,,,No violations detected,False
nba_shuffled_0007,nba,shuffled,False,,,No violations detected,False
nba_shuffled_0008,nba,shuffled,False,,,No violations detected,False
nba_shuffled_0009,nba,shuffled,False,,,No violations detected,False
nba_shuffled_0010,nba,shuffled,False,,,No violations detected,False
nba_shuffled_0011,nba,shuffled,False,,,No violations detected,False
nba_shuffled_0012,nba,shuffled,False,,,No violations detected,False
nba_shuffled_0013,nba,shuffled,False,,,No violations detected,False
nba_shuffled_0014,nba,shuffled,False,,,No violations detected,False
nba_shuffled_0015,nba,shuffled,False,,,No violations detected,False
nba_shuffled_0016,nba,shuffled,False,,,No violations detected,False
nba_shuffled_0017,nba,shuffled,False,,,No violations detected,False
nba_shuffled_0018,nba,shuffled,False,,,No violations detected,False
nba_shuffled_0019,nba,shuffled,False,,,No violations detected,False
nba_shuffled_0020,nba,shuffled,False,,,No violations detected,False
nba_shuffled_0021,nba,shuffled,False,,,No violations detected,False
nba_shuffled_0022,nba,shuffled,False,,,No violations detected,False
nba_shuffled_0023,nba,shuffled,False,,,No violations detected,False
nba_shuffled_0024,nba,shuffled,False,,,No violations detected,False
nba_shuffled_0025,nba,shuffled,False,,,No violations detected,False
nba_shuffled_0026,nba,shuffled,False,,,No violations detected,False
nba_shuffled_0027,nba,shuffled,False,,,No violations detected,False
nba_shuffled_0028,nba,shuffled,False,,,No violations detected,False
nba_shuffled_0029,nba,shuffled,False,,,No violations detected,False
