chain_id,domain,chain_type,symbolic_violation,violation_type,violation_position,details,symbolic_pred_shuffled
rocket_league_real_0000,rocket_league,real,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_real_0001,rocket_league,real,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_real_0002,rocket_league,real,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_real_0003,rocket_league,real,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_real_0004,rocket_league,real,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_real_0005,rocket_league,real,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_real_0006,rocket_league,real,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_real_0007,rocket_league,real,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_real_0008,rocket_league,real,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_real_0009,rocket_league,real,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_real_0010,rocket_league,real,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_real_0011,rocket_league,real,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_real_0012,rocket_league,real,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_real_0013,rocket_league,real,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_real_0014,rocket_league,real,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_real_0015,rocket_league,real,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_real_0016,rocket_league,real,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_real_0017,rocket_league,real,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_real_0018,rocket_league,real,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_real_0019,rocket_league,real,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_real_0020,rocket_league,real,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_real_0021,rocket_league,real,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_real_0022,rocket_league,real,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_real_0023,rocket_league,real,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_real_0024,rocket_league,real,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_real_0025,rocket_league,real,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_real_0026,rocket_league,real,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_real_0027,rocket_league,real,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_real_0028,rocket_league,real,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_real_0029,rocket_league,real,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_shuffled_0000,rocket_league,shuffled,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_shuffled_0001,rocket_league,shuffled,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_shuffled_0002,rocket_league,shuffled,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_shuffled_0003,rocket_league,shuffled,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_shuffled_0004,rocket_league,shuffled,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_shuffled_0005,rocket_league,shuffled,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_shuffled_0006,rocket_league,shuffled,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_shuffled_0007,rocket_league,shuffled,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_shuffled_0008,rocket_league,shuffled,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_shuffled_0009,rocket_league,shuffled,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_shuffled_0010,rocket_league,shuffled,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_shuffled_0011,rocket_league,shuffled,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_shuffled_0012,rocket_league,shuffled,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_shuffled_0013,rocket_league,shuffled,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_shuffled_0014,rocket_league,shuffled,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_shuffled_0015,rocket_league,shuffled,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_shuffled_0016,rocket_league,shuffled,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_shuffled_0017,rocket_league,shuffled,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_shuffled_0018,rocket_league,shuffled,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_shuffled_0019,rocket_league,shuffled,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_shuffled_0020,rocket_league,shuffled,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_shuffled_0021,rocket_league,shuffled,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_shuffled_0022,rocket_league,shuffled,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_shuffled_0023,rocket_league,shuffled,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_shuffled_0024,rocket_league,shuffled,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_shuffled_0025,rocket_league,shuffled,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_shuffled_0026,rocket_league,shuffled,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_shuffled_0027,rocket_league,shuffled,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_shuffled_0028,rocket_league,shuffled,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
rocket_league_shuffled_0029,rocket_league,shuffled,False,,,No violations detected. COVERAGE NOTE: Rocket League rules have limited coverage due to continuous physics; violations may exist below detection threshold.,False
