chain_id,model,condition,response,predicted_label,ground_truth_label,correct,prompt_tokens,completion_tokens,cost
pubg_real_0000,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
pubg_real_0000,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
pubg_real_0000,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
pubg_real_0000,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
pubg_real_0001,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
pubg_real_0001,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
pubg_real_0001,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
pubg_real_0001,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
pubg_real_0002,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
pubg_real_0002,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
pubg_real_0002,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
pubg_real_0002,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
pubg_real_0003,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
pubg_real_0003,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
pubg_real_0003,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
pubg_real_0003,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
pubg_real_0004,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
pubg_real_0004,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
pubg_real_0004,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
pubg_real_0004,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
pubg_real_0005,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
pubg_real_0005,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
pubg_real_0005,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
pubg_real_0005,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
pubg_real_0006,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
pubg_real_0006,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
pubg_real_0006,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
pubg_real_0006,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
pubg_real_0007,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
pubg_real_0007,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
pubg_real_0007,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
pubg_real_0007,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
pubg_real_0008,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
pubg_real_0008,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
pubg_real_0008,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
pubg_real_0008,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
pubg_real_0009,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
pubg_real_0009,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
pubg_real_0009,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
pubg_real_0009,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
pubg_real_0010,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
pubg_real_0010,claude-sonnet-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
pubg_real_0010,claude-haiku-4-5,control,YES,YES,YES,True,90,30,0.0003
pubg_real_0010,claude-haiku-4-5,v51_constraint_adapted,YES,YES,YES,True,90,30,0.0003
pubg_real_0011,claude-sonnet-4-5,control,YES,YES,YES,True,90,30,0.0003
